#TYPE Selected.System.Management.Automation.PSCustomObject
"Date","Name","IPAddress","Domain","Error"
"11/02","NO_CLIENT_SITE:","(null)","[1052]","GROUPE-RC:"
"11/02","Eventlog:","5805","[MISC]","[6096]"
"11/02","NO_CLIENT_SITE:","BRSAO0L2500","[1412]","GROUPE-RC:"
"11/02","NO_CLIENT_SITE:","COGNACTWP","[1452]","GROUPE-RC:"
"10/14","NO_CLIENT_SITE:","CZPRG0L0025","[7048]","GROUPE-RC:"
"11/01","NO_CLIENT_SITE:","CZPRG0L0071","[1184]","GROUPE-RC:"
"11/02","NO_CLIENT_SITE:","CZPRG0L0079","[3264]","GROUPE-RC:"
"11/02","NetpDcDerefCacheEntry:","destroying","[MISC]","[6676]"
"11/02","NetpDcInitializeContext:","DSGETDC_VALID_FLAGS","[MISC]","[6096]"
"11/02","GROUPE-RC:","DsGetDcName","[MISC]","[6320]"
"10/12","NO_CLIENT_SITE:","FRANE0L1003","[1248]","GROUPE-RC:"
"10/03","NO_CLIENT_SITE:","FRANE0L1004","[1712]","GROUPE-RC:"
"11/02","NO_CLIENT_SITE:","FRANE0L2502","[1184]","GROUPE-RC:"
"10/21","NO_CLIENT_SITE:","FRANE0L2601","[1220]","GROUPE-RC:"
"10/25","NO_CLIENT_SITE:","FRANE0L2633","[11052]","GROUPE-RC:"
"11/02","NlPingDcNameWithContext:","FRANE0PDC14.remy.cointreau","[MISC]","[6096]"
"10/20","NO_CLIENT_SITE:","FRANE0T2405","[5504]","GROUPE-RC:"
"11/02","NO_CLIENT_SITE:","FRCNG0L2500","[1452]","GROUPE-RC:"
"11/02","NO_CLIENT_SITE:","FRCNG0L2503","[8288]","GROUPE-RC:"
"10/05","NO_CLIENT_SITE:","FRCNG0L2506","[1412]","GROUPE-RC:"
"10/12","NO_CLIENT_SITE:","FRCNG0L2516","[1336]","GROUPE-RC:"
"11/02","NO_CLIENT_SITE:","FRCNG0L2518","[1316]","GROUPE-RC:"
"11/02","NO_CLIENT_SITE:","FRCNG0L2520","[3264]","GROUPE-RC:"
"10/12","NO_CLIENT_SITE:","FRCNG0L2526","[1248]","GROUPE-RC:"
"10/21","NO_CLIENT_SITE:","FRCNG0L2531","[1584]","GROUPE-RC:"
"10/10","NO_CLIENT_SITE:","FRCNG0L2550","[11040]","GROUPE-RC:"
"10/06","NO_CLIENT_SITE:","FRCNG0L2555","[1744]","GROUPE-RC:"
"10/26","NO_CLIENT_SITE:","FRCNG0L2574","[1292]","GROUPE-RC:"
"10/20","NO_CLIENT_SITE:","FRCNG0L2578","[1184]","GROUPE-RC:"
"10/24","NO_CLIENT_SITE:","FRCNG0L2579","[1220]","GROUPE-RC:"
"11/02","NO_CLIENT_SITE:","FRCNG0L2583","[1316]","GROUPE-RC:"
"10/28","NO_CLIENT_SITE:","FRCNG0L2591","[1292]","GROUPE-RC:"
"10/28","NO_CLIENT_SITE:","FRCNG0L2597","[5912]","GROUPE-RC:"
