"Filename","CapacityGB"
"[unitrends-vms] Unitrends Enterprise Backup VM Replication/Unitrends Enterprise Backup VM Replication.vmdk","100"
"[unitrends-vms] Unitrends Enterprise Backup VM Replication/Unitrends Enterprise Backup VM Replication_1.vmdk","2048"
"[unitrends-vms] Unitrends Enterprise Backup VM Replication/Unitrends Enterprise Backup VM Replication_2.vmdk","2048"
"[unitrends-vms] Unitrends Enterprise Backup VM Replication/Unitrends Enterprise Backup VM Replication_3.vmdk","2048"
"[unitrends-vms] Unitrends Enterprise Backup VM Replication/Unitrends Enterprise Backup VM Replication_4.vmdk","2048"
"[unitrends-lisle] Unitrends Enterprise Backup/Unitrends Enterprise Backup_10.vmdk","200"
"[unitrends-lisle] Unitrends Enterprise Backup/Unitrends Enterprise Backup_1.vmdk","256"
"[unitrends-lisle] Unitrends Enterprise Backup/Unitrends Enterprise Backup_2.vmdk","256"
"[unitrends-lisle] Unitrends Enterprise Backup/Unitrends Enterprise Backup_3.vmdk","256"
"[unitrends-lisle] Unitrends Enterprise Backup/Unitrends Enterprise Backup_4.vmdk","256"
"[unitrends-lisle] Unitrends Enterprise Backup/Unitrends Enterprise Backup_5.vmdk","1024"
"[unitrends-lisle] Unitrends Enterprise Backup/Unitrends Enterprise Backup_6.vmdk","1024"
"[unitrends-lisle] Unitrends Enterprise Backup/Unitrends Enterprise Backup_7.vmdk","1024"
"[unitrends-lisle] Unitrends Enterprise Backup/Unitrends Enterprise Backup_8.vmdk","1024"
"[unitrends-lisle] Unitrends Enterprise Backup/Unitrends Enterprise Backup_9.vmdk","1024"
"[unitrends-2] Unitrends Enterprise Backup - vms replica/Unitrends Enterprise Backup - vms replica.vmdk","100"
"[unitrends-2] Unitrends Enterprise Backup - vms replica/Unitrends Enterprise Backup - vms replica_1.vmdk","4096"
"[esxvol1] Sensu/Sensu.vmdk","40"
"[esxvol2] cubeport/cubeport.vmdk","60"
"[mailvol1] USNYC0L0516/USNYC0L0516.vmdk","465.763671875"
"[mailvol1] SF3-1/SF3-1.vmdk","60"
"[esxvol1] test box/test box.vmdk","60"
"[esxvol1] Worldox2003/Worldox2003.vmdk","24"
"[esxvol1] Worldox2003/Worldox2003_1.vmdk","20"
"[esxvol2] usnyc0vas26/usnyc0vas26.vmdk","60"
"[esxvol2] solarwinds/solarwinds.vmdk","40"
"[esxvol2] solarwinds/solarwinds_1.vmdk","80"
"[esxvol1] USNYC0VAS10/USNYC0VAS10.vmdk","60"
"[esxvol2] USNYC0VAS09/USNYC0VAS09.vmdk","80"
"[esxvol1] USNYC0VAS03/USNYC0VAS03.vmdk","24"
"[esxvol2] Admin Console/Admin Console.vmdk","32"
"[esxvol2] usnyc0pdb02/usnyc0pdb02.vmdk","60"
"[esxvol2] usnyc0pdb02/usnyc0pdb02_1.vmdk","200"
"[esxvol2] usnyc0pdb02/usnyc0pdb02_2.vmdk","100"
"[esxvol2] usnyc0pdb02/usnyc0pdb02_3.vmdk","100"
"[esxvol2] usnyc0pdb02/usnyc0pdb02_4.vmdk","200"
"[esxvol2] usnyc0pas32/usnyc0pas32.vmdk","120"
"[esxvol1] Sophos/Sophos.vmdk","85"
"[esxvol1] SF3/SF3.vmdk","60"
"[esxvol1] USNYC0PAS33/USNYC0PAS33.vmdk","40"
"[esxvol1] USNYC0PAS33/USNYC0PAS33_1.vmdk","160"
"[esxvol2] USNYC0PAS34/USNYC0PAS34.vmdk","40"
"[esxvol2] usnyc0pas15/usnyc0pas15.vmdk","115"
"[esxvol2] usnyc0pas15/usnyc0pas15_1.vmdk","40"
"[esxvol1] usnyc0pas31/usnyc0pas31.vmdk","40"
"[esxvol1] USNYC0PAS37/USNYC0PAS37.vmdk","80"
"[esxvol2] XD764Temp/XD764Temp-000004.vmdk","32"
"[esxvol1] CSLD_w32_v95/CSLD_w32_v95-000001.vmdk","30"
"[esxvol1] CSLD_w32_v95/CSLD_w32_v95_1-000001.vmdk","30"
"[esxvol1] CSLD_w32_v95/CSLD_w32_v95_2-000001.vmdk","20"
"[esxvol2] XenDesktop Master Image 2014/XenDesktop Master Image 2014-000003.vmdk","60"
"[esxvol2] USNYC0PAS35/USNYC0PAS35-000001.vmdk","40"
"[esxvol2] DXi V4000/DXi V4000.vmdk","256"
"[esxvol2] DXi V4000/DXi V4000_1.vmdk","256"
"[Quantum] DXi V4000/DXi V4000_2.vmdk","2047.99999904632568359375"
"[Quantum] DXi V4000/DXi V4000_3.vmdk","2047.99999904632568359375"
"[Quantum] DXi V4000/DXi V4000_4.vmdk","2047.99999904632568359375"
"[Quantum] DXi V4000/DXi V4000_5.vmdk","2047.99999904632568359375"
"[Quantum] DXi V4000/DXi V4000_6.vmdk","2047.99999904632568359375"
"[Quantum] DXi V4000/DXi V4000_7.vmdk","2047.99999904632568359375"
"[Quantum] DXi V4000/DXi V4000_8.vmdk","2047.99999904632568359375"
"[Quantum] DXi V4000/DXi V4000_9.vmdk","2047.99999904632568359375"
"[Quantum] DXi V4000/DXi V4000_10.vmdk","2047.99999904632568359375"
"[Quantum] DXi V4000/DXi V4000_11.vmdk","2047.99999904632568359375"
"[Quantum] DXi V4000/DXi V4000_12.vmdk","2047.99999904632568359375"
"[Quantum] DXi V4000/DXi V4000_13.vmdk","2047.99999904632568359375"
"[Quantum] PHDVBA-Nexsan/PHDVBA-Nexsan.vmdk","8"
"[PHDvol1] PHDVBA_Nexsan/PHDVBA_Nexsan.vmdk","2048"
"[PHDvol1] PHDVBA_Nexsan/PHDVBA-Nexsan_1.vmdk","2048"
"[esxvol2] Nielsen Nitro/Nielsen Nitro.vmdk","22"
"[esxvol2] Nielsen Nitro/Nielsen Nitro_3-000002.vmdk","10"
"[esxvol2] vSphere Management Assistant (vMA)/vSphere Management Assistant (vMA).vmdk","3"
"[esxvol2] XenDesktop XenApp 6 Server/XenDesktop XenApp 6 Server_1.vmdk","30"
"[esxvol2] XenDesktop XenApp 6 Server/XenDesktop XenApp 6 Server.vmdk","30"
